Time[y],reactor_In[t],Reactor_Out[t],Inv[t],92234[t],92235[t],92236[t],92238[t],94238[t],94239[t],94240[t],94241[t],94242[t],95241[t],95242[t],95243[t],96242[t],96243[t],96244[t],96245[t],93237[t],
6.08333,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
6.16667,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
6.25,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
6.33333,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
6.41667,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
6.5,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
6.58333,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
6.66667,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
6.75,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
6.83333,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
6.91667,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
7,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
7.08333,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
7.16667,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
7.25,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
7.33333,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
7.41667,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
7.5,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
7.58333,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
7.66667,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
