Time[month],reactor_In[kg],Reactor_Out[kg],
382,21021,20857.2,
383,21075.6,20911.8,
384,21130.2,20966.4,
385,21184.8,21021,
386,21239.4,21075.6,
387,21294,21130.2,
388,21348.6,21184.8,
389,21403.2,21239.4,
390,21457.8,21294,
391,21512.4,21348.6,
392,21567,21403.2,
393,21621.6,21457.8,
394,21676.2,21512.4,
395,21730.8,21567,
396,21785.4,21621.6,
397,21840,21676.2,
398,21894.6,21730.8,
399,21949.2,21785.4,
400,22003.8,21840,
401,22058.4,21894.6,
402,22113,21949.2,
403,22167.6,22003.8,
404,22222.2,22058.4,
405,22276.8,22113,
406,22331.4,22167.6,
407,22386,22222.2,
408,22440.6,22276.8,
409,22495.2,22331.4,
410,22549.8,22386,
411,22604.4,22440.6,
412,22659,22495.2,
413,22713.6,22549.8,
414,22768.2,22604.4,
415,22822.8,22659,
416,22877.4,22713.6,
417,22932,22768.2,
418,22986.6,22822.8,
419,23041.2,22877.4,
420,23095.8,22932,
421,23150.4,22986.6,
422,23205,23041.2,
423,23259.6,23095.8,
424,23314.2,23150.4,
425,23368.8,23205,
426,23423.4,23259.6,
427,23478,23314.2,
428,23532.6,23368.8,
429,23587.2,23423.4,
430,23641.8,23478,
431,23696.4,23532.6,
432,23751,23587.2,
433,23805.6,23641.8,
434,23860.2,23696.4,
435,23914.8,23751,
436,23969.4,23805.6,
437,24024,23860.2,
438,24078.6,23914.8,
439,24133.2,23969.4,
440,24187.8,24024,
441,24242.4,24078.6,
442,24297,24133.2,
443,24351.6,24187.8,
444,24406.2,24242.4,
445,24460.8,24297,
446,24515.4,24351.6,
447,24570,24406.2,
448,24624.6,24460.8,
449,24679.2,24515.4,
450,24733.8,24570,
451,24788.4,24624.6,
452,24843,24679.2,
453,24897.6,24733.8,
454,24952.2,24788.4,
455,25006.8,24843,
456,25061.4,24897.6,
457,25116,24952.2,
458,25170.6,25006.8,
459,25225.2,25061.4,
460,25279.8,25116,
461,25334.4,25170.6,
462,25389,25225.2,
463,25443.6,25279.8,
464,25498.2,25334.4,
465,25552.8,25389,
466,25607.4,25443.6,
467,25662,25498.2,
468,25716.6,25552.8,
469,25771.2,25607.4,
470,25825.8,25662,
471,25880.4,25716.6,
472,25935,25771.2,
473,25989.6,25825.8,
474,26044.2,25880.4,
475,26098.8,25935,
476,26153.4,25989.6,
477,26208,26044.2,
478,26262.6,26098.8,
479,26317.2,26153.4,
480,26371.8,26208,
481,26426.4,26262.6,
482,26481,26317.2,
483,26535.6,26371.8,
484,26590.2,26426.4,
485,26644.8,26481,
486,26699.4,26535.6,
487,26754,26590.2,
488,26808.6,26644.8,
489,26863.2,26699.4,
490,26917.8,26754,
491,26972.4,26808.6,
492,27027,26863.2,
493,27081.6,26917.8,
494,27136.2,26972.4,
495,27190.8,27027,
496,27245.4,27081.6,
497,27300,27136.2,
498,27354.6,27190.8,
499,27409.2,27245.4,
500,27463.8,27300,
501,27518.4,27354.6,
502,27573,27409.2,
503,27627.6,27463.8,
504,27682.2,27518.4,
505,27736.8,27573,
506,27791.4,27627.6,
507,27846,27682.2,
508,27900.6,27736.8,
509,27955.2,27791.4,
510,28009.8,27846,
511,28064.4,27900.6,
512,28119,27955.2,
513,28173.6,28009.8,
514,28228.2,28064.4,
515,28282.8,28119,
516,28337.4,28173.6,
517,28392,28228.2,
518,28446.6,28282.8,
519,28501.2,28337.4,
520,28555.8,28392,
521,28610.4,28446.6,
522,28665,28501.2,
523,28719.6,28555.8,
524,28774.2,28610.4,
525,28828.8,28665,
526,28883.4,28719.6,
527,28938,28774.2,
528,28992.6,28828.8,
529,29047.2,28883.4,
530,29101.8,28938,
531,29156.4,28992.6,
532,29211,29047.2,
533,29265.6,29101.8,
534,29320.2,29156.4,
535,29374.8,29211,
536,29429.4,29265.6,
537,29484,29320.2,
538,29538.6,29374.8,
539,29593.2,29429.4,
540,29647.8,29484,
541,29702.4,29538.6,
542,29757,29593.2,
543,29811.6,29647.8,
544,29866.2,29702.4,
545,29920.8,29757,
546,29975.4,29811.6,
547,30030,29866.2,
548,30084.6,29920.8,
549,30139.2,29975.4,
550,30193.8,30030,
551,30248.4,30084.6,
552,30303,30139.2,
553,30357.6,30193.8,
554,30412.2,30248.4,
555,30466.8,30303,
556,30521.4,30357.6,
557,30576,30412.2,
558,30630.6,30466.8,
559,30685.2,30521.4,
560,30739.8,30576,
561,30794.4,30630.6,
562,30849,30685.2,
563,30903.6,30739.8,
564,30958.2,30794.4,
565,31012.8,30849,
566,31067.4,30903.6,
567,31122,30958.2,
568,31176.6,31012.8,
569,31231.2,31067.4,
570,31285.8,31122,
571,31340.4,31176.6,
572,31395,31231.2,
573,31449.6,31285.8,
574,31504.2,31340.4,
575,31558.8,31395,
576,31613.4,31449.6,
577,31668,31504.2,
578,31722.6,31558.8,
579,31777.2,31613.4,
580,31831.8,31668,
581,31886.4,31722.6,
582,31941,31777.2,
583,31995.6,31831.8,
584,32050.2,31886.4,
585,32104.8,31941,
586,32159.4,31995.6,
587,32214,32050.2,
588,32268.6,32104.8,
589,32323.2,32159.4,
590,32377.8,32214,
591,32432.4,32268.6,
592,32487,32323.2,
593,32541.6,32377.8,
594,32596.2,32432.4,
595,32650.8,32487,
596,32705.4,32541.6,
597,32760,32596.2,
598,32814.6,32650.8,
599,32869.2,32705.4,
600,32923.8,32760,
601,32978.4,32814.6,
602,33033,32869.2,
603,33087.6,32923.8,
604,33142.2,32978.4,
605,33196.8,33033,
606,33251.4,33087.6,
607,33306,33142.2,
608,33360.6,33196.8,
609,33415.2,33251.4,
610,33469.8,33306,
611,33524.4,33360.6,
612,33579,33415.2,
613,33633.6,33469.8,
614,33688.2,33524.4,
615,33742.8,33579,
616,33797.4,33633.6,
617,33852,33688.2,
618,33906.6,33742.8,
619,33961.2,33797.4,
620,34015.8,33852,
621,34070.4,33906.6,
622,34125,33961.2,
623,34179.6,34015.8,
624,34234.2,34070.4,
625,34288.8,34125,
626,34343.4,34179.6,
627,34398,34234.2,
628,34452.6,34288.8,
629,34507.2,34343.4,
630,34561.8,34398,
631,34616.4,34452.6,
632,34671,34507.2,
633,34725.6,34561.8,
634,34780.2,34616.4,
635,34834.8,34671,
636,34889.4,34725.6,
637,34944,34780.2,
638,34998.6,34834.8,
639,35053.2,34889.4,
640,35107.8,34944,
641,35162.4,34998.6,
642,35217,35053.2,
643,35271.6,35107.8,
644,35326.2,35162.4,
645,35380.8,35217,
646,35435.4,35271.6,
647,35490,35326.2,
648,35544.6,35380.8,
